address,name,category,status,file,notes
0x8001ea88,DAT_8001ea88,game,TODO,,
0x8001eaac,DAT_8001eaac,game,TODO,,
0x8001ead0,DAT_8001ead0,game,TODO,,
0x8001eaf4,DAT_8001eaf4,game,TODO,,
0x8001eb18,DAT_8001eb18,game,TODO,,
0x8001eb3c,DAT_8001eb3c,game,TODO,,
0x8001eb60,DAT_8001eb60,game,TODO,,
0x8001eb84,DAT_8001eb84,game,TODO,,
0x8001eba8,DAT_8001eba8,game,TODO,,
0x8001ebcc,DAT_8001ebcc,game,TODO,,
0x8001ebf0,DAT_8001ebf0,game,TODO,,
0x8001ec14,DAT_8001ec14,game,TODO,,
0x8001ec38,DAT_8001ec38,game,TODO,,
0x8001ec5c,DAT_8001ec5c,game,TODO,,
0x8001ec80,DAT_8001ec80,game,TODO,,
0x8001eca4,DAT_8001eca4,game,TODO,,
0x8001ecc8,DAT_8001ecc8,game,TODO,,
0x8001ecec,DAT_8001ecec,game,TODO,,
0x8001ed10,DAT_8001ed10,game,TODO,,
0x8001ed34,DAT_8001ed34,game,TODO,,
0x8001ed58,DAT_8001ed58,game,TODO,,
